full_date,time,am/pm,week_day,day,month,year,kwh
2014-01-01,01,AM,Wednesday,01,Jan,2014,0.34
2014-01-01,02,AM,Wednesday,01,Jan,2014,0.332
2014-01-01,03,AM,Wednesday,01,Jan,2014,0.396
2014-01-01,04,AM,Wednesday,01,Jan,2014,0.388
2014-01-01,05,AM,Wednesday,01,Jan,2014,2.354
2014-01-01,06,AM,Wednesday,01,Jan,2014,2.304
2014-01-01,07,AM,Wednesday,01,Jan,2014,1.53
2014-01-01,08,AM,Wednesday,01,Jan,2014,0.656
2014-01-01,09,AM,Wednesday,01,Jan,2014,0.51
2014-01-01,10,AM,Wednesday,01,Jan,2014,0.952
2014-01-01,11,AM,Wednesday,01,Jan,2014,0.83
2014-01-01,12,AM,Wednesday,01,Jan,2014,0.684
2014-01-01,01,PM,Wednesday,01,Jan,2014,0.784
2014-01-01,02,PM,Wednesday,01,Jan,2014,0.872
2014-01-01,03,PM,Wednesday,01,Jan,2014,0.72
2014-01-01,04,PM,Wednesday,01,Jan,2014,0.936
2014-01-01,05,PM,Wednesday,01,Jan,2014,2.548
2014-01-01,06,PM,Wednesday,01,Jan,2014,2.856
2014-01-01,07,PM,Wednesday,01,Jan,2014,4.248
2014-01-01,08,PM,Wednesday,01,Jan,2014,3.20
2014-01-01,09,PM,Wednesday,01,Jan,2014,1.404
2014-01-01,10,PM,Wednesday,01,Jan,2014,1.20
2014-01-01,11,PM,Wednesday,01,Jan,2014,1.13
2014-01-01,12,PM,Wednesday,01,Jan,2014,0.80
2014-01-02,01,AM,Thursday,02,Jan,2014,0.472
2014-01-02,02,AM,Thursday,02,Jan,2014,0.348
2014-01-02,03,AM,Thursday,02,Jan,2014,0.464
2014-01-02,04,AM,Thursday,02,Jan,2014,0.456
2014-01-02,05,AM,Thursday,02,Jan,2014,1.892
2014-01-02,06,AM,Thursday,02,Jan,2014,2.256
2014-01-02,07,AM,Thursday,02,Jan,2014,1.458
2014-01-02,08,AM,Thursday,02,Jan,2014,0.712
2014-01-02,09,AM,Thursday,02,Jan,2014,0.678
2014-01-02,10,AM,Thursday,02,Jan,2014,0.848
2014-01-02,11,AM,Thursday,02,Jan,2014,0.91
2014-01-02,12,AM,Thursday,02,Jan,2014,0.69
2014-01-02,01,PM,Thursday,02,Jan,2014,0.664
2014-01-02,02,PM,Thursday,02,Jan,2014,0.88
2014-01-02,03,PM,Thursday,02,Jan,2014,0.896
2014-01-02,04,PM,Thursday,02,Jan,2014,0.712
2014-01-02,05,PM,Thursday,02,Jan,2014,2.756
2014-01-02,06,PM,Thursday,02,Jan,2014,2.352
2014-01-02,07,PM,Thursday,02,Jan,2014,4.14
2014-01-02,08,PM,Thursday,02,Jan,2014,2.688
2014-01-02,09,PM,Thursday,02,Jan,2014,1.368
2014-01-02,10,PM,Thursday,02,Jan,2014,0.90
2014-01-02,11,PM,Thursday,02,Jan,2014,1.07
2014-01-02,12,PM,Thursday,02,Jan,2014,0.84
2014-01-03,01,AM,Friday,03,Jan,2014,0.448
2014-01-03,02,AM,Friday,03,Jan,2014,0.324
2014-01-03,03,AM,Friday,03,Jan,2014,0.472
2014-01-03,04,AM,Friday,03,Jan,2014,0.416
2014-01-03,05,AM,Friday,03,Jan,2014,2.288
2014-01-03,06,AM,Friday,03,Jan,2014,2.112
2014-01-03,07,AM,Friday,03,Jan,2014,1.80
2014-01-03,08,AM,Friday,03,Jan,2014,0.768
2014-01-03,09,AM,Friday,03,Jan,2014,0.558
2014-01-03,10,AM,Friday,03,Jan,2014,0.816
2014-01-03,11,AM,Friday,03,Jan,2014,1.16
